x,y
1.59531,-1.83166
1.93916,-3.46391
0.724853,1.72607
-1.04749,-3.101
-0.543368,-4.22476
-0.357889,1.66484
1.11423,2.21559
2.62069,0.713815
1.62125,-0.266146
3.13017,0.349898
0.323464,2.17047
-2.35886,-4.70034
-0.938493,-2.5102
0.934295,1.38644
2.49342,4.40487
1.88973,5.2016
3.5027,-2.20992
1.71645,-2.38866
-0.113853,-1.99735
2.1525,1.03507
1.43371,-0.270637
3.14775,2.30447
4.33084,4.6743
-0.487252,-3.48131
0.556561,2.72482
2.33239,2.17205
2.29317,3.09813
0.428647,-2.96427
0.381179,-0.236591
0.866348,-1.68099
0.30972,0.737957
1.40995,-1.49471
2.13432,0.591346
1.94173,1.96495
-0.522012,-2.14429
-0.795996,-0.854384
0.569433,-2.30472
1.12509,-0.547638
1.94105,3.49332
-0.17868,-0.725227
1.7096,-1.78462
1.43361,-1.59807
-1.92198,-3.09025
2.89284,2.49365
1.75579,-1.17259
2.3824,-0.189567
2.10798,-0.436373
0.56388,0.382608
1.29015,-1.69767
-1.78123,-6.70706
3.57191,0.841364
0.858106,1.32742
-0.182285,-1.05819
2.37552,1.14332
1.81671,4.59897
2.02473,2.38551
2.98965,0.660427
0.0637059,-0.578208
-0.785324,-1.2381
0.216948,0.283758
1.65339,0.995193
1.38915,-2.27526
-0.0341622,-1.60861
2.5008,0.549434
1.47865,1.45773
-1.31054,-3.51063
0.271535,-1.59101
-1.2281,-0.0445652
2.9634,-0.322011
2.77256,2.23559
1.02582,1.08767
-0.999584,-2.1063
1.15674,-1.00625
-0.784853,-3.51515
-0.733736,-2.40997
-0.153994,-2.66514
0.793428,-0.879242
-0.999235,-1.48536
2.55893,0.714285
1.39394,-2.22749
-2.32296,-1.29654
1.56994,-1.04269
2.12774,1.61049
-0.988924,-2.9624
0.954781,0.119042
-0.908519,-3.21979
2.82879,0.237859
2.06817,0.984755
1.85183,3.68439
1.71202,-1.82448
-1.4783,-2.13046
0.435238,-1.13861
0.720573,-0.767738
1.87326,1.91071
4.04089,4.09231
-0.79453,1.03751
3.4179,1.52305
1.07295,-0.483513
3.04632,3.50739
0.652919,-0.543509
-1.41424,-5.92142
-0.843536,0.131696
3.37717,2.83542
0.186624,0.310109
-0.620723,0.903891
4.02078,2.19965
1.28612,-0.429776
2.10719,1.64681
0.929468,-1.03435
0.572797,2.1573
-2.41086,-0.890871
3.69602,2.71177
-0.260595,-3.82998
4.16079,5.39964
1.51611,0.844339
-0.550905,-1.39876
1.74649,1.09171
0.333833,-0.102284
0.0577531,-0.154424
4.15926,3.58264
2.28721,2.33019
-0.797508,1.39701
0.309288,0.630003
0.418013,1.01858
1.8975,2.30384
0.317451,-2.21669
1.021,-1.41104
-0.625533,-4.45274
0.860165,-1.16808
1.92435,2.9641
1.71387,3.15775
3.70904,4.34173
1.23041,-1.48033
1.27236,0.0663799
0.953278,-1.80479
1.04091,-1.33696
3.33727,3.02051
-1.51778,-1.93617
1.24263,0.57413
-0.519366,-2.96615
-1.43852,-0.403725
-1.28726,-2.80625
3.15084,3.98248
-0.0615332,-3.1203
2.86652,1.16657
0.77905,0.0757987
-1.82673,-4.14121
4.62967,4.78237
-0.696408,-3.61833
4.32882,7.02566
1.20894,0.614419
0.676529,-2.4598
-0.991216,-1.87709
0.214397,2.83425
-1.56159,-2.21138
0.929177,1.97914
-0.978902,-1.40801
3.28151,2.81938
1.07144,1.20431
1.59067,1.03009
-2.62688,-5.2796
-1.29861,-2.1117
-4.05946,-6.47465
2.8139,3.12852
-2.07405,-4.754
1.50293,0.0887105
3.35949,2.85375
-3.3174,-2.25009
2.21218,1.82645
1.7565,-0.445533
1.47589,1.19722
0.265504,-1.49279
2.52817,-0.603807
0.902996,0.685276
2.92008,3.79035
0.978321,-0.277603
-1.92667,-5.17255
0.533114,-1.33967
2.93825,1.59231
1.61251,-0.710459
0.0016575,-1.92665
-0.0366125,-1.27926
1.0529,4.90553
-0.106756,-0.485959
0.376145,0.160275
0.180262,1.00101
2.4067,3.87646
0.60287,0.1458
1.78082,2.57182
0.817417,-1.5411
1.48092,0.0775251
-0.1424,-0.36072
0.953508,1.8427
0.899324,0.909355
0.0738591,-4.02699
3.56336,3.94962
1.01155,3.6146
1.12049,1.3126
0.845674,-3.33289
2.10383,2.35474
-0.0555415,0.760056
0.00446773,-0.985046
1.65642,-0.300056
-0.383148,-1.59145
-0.457652,-0.682479
0.367613,-2.1851
0.964803,1.99125
0.169583,-0.772316
0.601002,-1.76719
-0.201281,0.782899
1.71219,1.9512
-2.57523,-2.66612
1.27333,-3.59322
1.03433,0.3612
0.778018,-1.46365
0.187573,1.36911
3.81319,2.37474
0.113721,-3.52165
-1.36014,-3.94306
1.9252,4.58573
2.63989,3.51189
1.45192,3.67351
2.3854,1.24372
0.532836,-1.79162
0.0464498,1.47219
1.64072,0.559313
2.78767,2.76115
3.82501,3.96131
1.40794,-0.543597
1.55595,2.95795
-0.878676,-0.275962
2.25773,-0.497496
0.0880219,-1.08654
-1.41602,-4.40605
-0.950994,-3.22045
1.21016,-0.164268
-0.332398,-3.19233
2.40228,1.64733
0.532343,1.40862
0.469591,-1.86465
4.15649,3.10195
1.47942,0.36174
